image_id,image_path,source_dataset,source_file,source_url,label,label_type,severity_label,notes
psoriasis_001,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_001_0_0.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_0.jpg,https://www.kaggle.com/datasets/ismailpromus/skin-diseases-image-dataset,psoriasis_lichen_planus_related,disease_category,unknown,"Kaggle Skin Diseases Dataset class 7: Psoriasis pictures, Lichen Planus and related diseases"
psoriasis_002,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_002_0_1.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_1.jpg,https://www.kaggle.com/datasets/ismailpromus/skin-diseases-image-dataset,psoriasis_lichen_planus_related,disease_category,unknown,"Kaggle Skin Diseases Dataset class 7: Psoriasis pictures, Lichen Planus and related diseases"
psoriasis_003,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_003_0_10.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_10.jpg,https://www.kaggle.com/datasets/ismailpromus/skin-diseases-image-dataset,psoriasis_lichen_planus_related,disease_category,unknown,"Kaggle Skin Diseases Dataset class 7: Psoriasis pictures, Lichen Planus and related diseases"
psoriasis_004,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_004_0_11.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_11.jpg,https://www.kaggle.com/datasets/ismailpromus/skin-diseases-image-dataset,psoriasis_lichen_planus_related,disease_category,unknown,"Kaggle Skin Diseases Dataset class 7: Psoriasis pictures, Lichen Planus and related diseases"
psoriasis_005,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_005_0_14.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_14.jpg,https://www.kaggle.com/datasets/ismailpromus/skin-diseases-image-dataset,psoriasis_lichen_planus_related,disease_category,unknown,"Kaggle Skin Diseases Dataset class 7: Psoriasis pictures, Lichen Planus and related diseases"
psoriasis_006,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_006_0_15.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_15.jpg,https://www.kaggle.com/datasets/ismailpromus/skin-diseases-image-dataset,psoriasis_lichen_planus_related,disease_category,unknown,"Kaggle Skin Diseases Dataset class 7: Psoriasis pictures, Lichen Planus and related diseases"
psoriasis_007,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_007_0_17.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_17.jpg,https://www.kaggle.com/datasets/ismailpromus/skin-diseases-image-dataset,psoriasis_lichen_planus_related,disease_category,unknown,"Kaggle Skin Diseases Dataset class 7: Psoriasis pictures, Lichen Planus and related diseases"
psoriasis_008,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_008_0_2.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_2.jpg,https://www.kaggle.com/datasets/ismailpromus/skin-diseases-image-dataset,psoriasis_lichen_planus_related,disease_category,unknown,"Kaggle Skin Diseases Dataset class 7: Psoriasis pictures, Lichen Planus and related diseases"
psoriasis_009,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_009_0_20.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_20.jpg,https://www.kaggle.com/datasets/ismailpromus/skin-diseases-image-dataset,psoriasis_lichen_planus_related,disease_category,unknown,"Kaggle Skin Diseases Dataset class 7: Psoriasis pictures, Lichen Planus and related diseases"
psoriasis_010,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_010_0_22.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_22.jpg,https://www.kaggle.com/datasets/ismailpromus/skin-diseases-image-dataset,psoriasis_lichen_planus_related,disease_category,unknown,"Kaggle Skin Diseases Dataset class 7: Psoriasis pictures, Lichen Planus and related diseases"
psoriasis_011,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_011_0_24.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_24.jpg,https://www.kaggle.com/datasets/ismailpromus/skin-diseases-image-dataset,psoriasis_lichen_planus_related,disease_category,unknown,"Kaggle Skin Diseases Dataset class 7: Psoriasis pictures, Lichen Planus and related diseases"
psoriasis_012,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_012_0_27.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_27.jpg,https://www.kaggle.com/datasets/ismailpromus/skin-diseases-image-dataset,psoriasis_lichen_planus_related,disease_category,unknown,"Kaggle Skin Diseases Dataset class 7: Psoriasis pictures, Lichen Planus and related diseases"
psoriasis_013,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_013_0_30.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_30.jpg,https://www.kaggle.com/datasets/ismailpromus/skin-diseases-image-dataset,psoriasis_lichen_planus_related,disease_category,unknown,"Kaggle Skin Diseases Dataset class 7: Psoriasis pictures, Lichen Planus and related diseases"
psoriasis_014,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_014_0_36.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_36.jpg,https://www.kaggle.com/datasets/ismailpromus/skin-diseases-image-dataset,psoriasis_lichen_planus_related,disease_category,unknown,"Kaggle Skin Diseases Dataset class 7: Psoriasis pictures, Lichen Planus and related diseases"
