family,stem,model,sp_cv5,sp_groupcv,sp_scaffoldcv,gap_cv5,gap_groupcv,gap_scaffoldcv
dl,stad_numeric_context_smiles_dl_v1,DL_MLP_1024_512_256,0.7972837507589532,0.5083741883613414,0.4094967087167718,0.029266705505337876,0.31124619033334894,0.39696590749188454
dl,stad_numeric_context_smiles_dl_v1,DL_MLP_2x1024,0.802405509476146,0.5253896137959317,0.39463002231466554,0.024991617926084553,0.2841339915371189,0.3672075880856693
dl,stad_numeric_context_smiles_dl_v1,DL_MLP_2x512,0.7956272510348198,0.5376997137998843,0.42593668906493615,0.02867595504417042,0.2900430420787518,0.3553618974944859
dl,stad_numeric_context_smiles_dl_v1,DL_MLP_3x512,0.7905146233487688,0.53180172390091,0.3879549037264387,0.028300924651337534,0.2839804220877416,0.34199342487853235
dl,stad_numeric_context_smiles_dl_v1,DL_MLP_ResidualStyle,0.7863528070911739,0.4990223936998932,0.3991991929573239,0.030218639302015626,0.2537099692165949,0.38942892866533213
dl,stad_numeric_context_smiles_dl_v1,DL_MLP_SELU_3x256,0.8322143950438846,0.5165852837913801,0.37222243935568294,0.035280034213530764,0.30230189539735147,0.1689536420813309
dl,stad_numeric_context_smiles_dl_v1,DL_MLP_WideNarrow,0.7956387010601336,0.5229179910079015,0.4190834642989892,0.028381456050325625,0.28528315652046904,0.3708802531539439
dl,stad_numeric_dl_v1,DL_MLP_1024_512_256,0.8006857633976873,0.44314914830476265,0.4143610972227559,0.029226337562989535,0.17981500907404616,0.20960235570834032
dl,stad_numeric_dl_v1,DL_MLP_2x1024,0.791285852464982,0.5008660706878253,0.4030142345720938,0.028466939690035865,0.23448204091373817,0.25614297146470616
dl,stad_numeric_dl_v1,DL_MLP_2x512,0.7699283451435438,0.5191881505979837,0.401430886806233,0.027121392358719597,0.28776840997956094,0.3625762361453446
dl,stad_numeric_dl_v1,DL_MLP_3x512,0.8043211999412542,0.4885139527868286,0.4206648472845922,0.03326081071605509,0.23078340556659413,0.20115383105298035
dl,stad_numeric_dl_v1,DL_MLP_ResidualStyle,0.8026130105557773,0.5105636754897782,0.3884156258123967,0.02699756014678232,0.2991679627471228,0.33231766523656886
dl,stad_numeric_dl_v1,DL_MLP_SELU_3x256,0.8204389090827904,0.5192463000958533,0.34764604017757356,0.03583805996468688,0.31207907121108897,0.31753956946445205
dl,stad_numeric_dl_v1,DL_MLP_WideNarrow,0.7858246222067506,0.5208639431100527,0.40407404904952277,0.03486909757433487,0.2778112980881609,0.3677430557572183
dl,stad_numeric_smiles_dl_v1,DL_MLP_1024_512_256,0.8051436624242374,0.5018511258125874,0.4066152568898422,0.031173519854845975,0.22612500513002934,0.3294341660419114
dl,stad_numeric_smiles_dl_v1,DL_MLP_2x1024,0.7973526767998933,0.48551920050966463,0.39687061177291355,0.0251405865596221,0.21672872857038228,0.4264030766051115
dl,stad_numeric_smiles_dl_v1,DL_MLP_2x512,0.7999996604707913,0.5097613801523838,0.40679680751843944,0.0263572970662459,0.23085316374600814,0.3962626653936614
dl,stad_numeric_smiles_dl_v1,DL_MLP_3x512,0.8035318032069544,0.5149511188948351,0.38244399323870765,0.030040146570262084,0.2781896532511166,0.32043721870833614
